campaign,ad_group,keyword,match_type,quality_score,landing_page_experience,expected_ctr,ad_relevance,final_url,status
千葉県＿車内クリーニング,int千葉_通常清掃,車内 クリーニング 専門 店 千葉,Broad,6,Average,Average,Average,,Enabled
千葉県＿車内クリーニング,車内 消臭・脱臭洗浄,車内 消 臭 プロ,Phrase,6,Average,Above average,Below average,https://carinteriorcleaning.jp/regions/chiba/shanai-shoshu/,Enabled
福岡県＿車内クリーニング,int福岡_通常清掃,車内 クリーニング 専門 店 福岡,Broad,6,Average,Average,Average,,Enabled
福岡県＿車内クリーニング,車 嘔吐 クリーニング,車 クリーニング 福岡,Phrase,6,Average,Average,Average,https://carinteriorcleaning.jp/regions/fukuoka/kyuto-cleaning/,Enabled
福岡県＿車内クリーニング,車シート クリーニング,車シート クリーニング,Phrase,6,Average,Average,Average,https://carinteriorcleaning.jp/regions/fukuoka/seat-cleaning/,Enabled
群馬県＿車内クリーニング,車内 消臭・脱臭洗浄,車内 消 臭 プロ,Phrase,6,Average,Average,Average,https://carinteriorcleaning.jp/regions/gunma/shanai-shoshu/,Enabled
栃木県＿車内クリーニング,車内 消臭・脱臭洗浄,車内 消 臭 プロ,Phrase,6,Average,Above average,Below average,https://carinteriorcleaning.jp/regions/tochigi/shanai-shoshu/,Enabled
大阪府＿車内クリーニング,int大阪_通常清掃,車 室内 クリーニング,Phrase,7,Average,Average,Above average,,Paused
大阪府＿車内クリーニング,int大阪_通常清掃,車 の 室内 清掃,Phrase,7,Average,Average,Above average,,Paused
大阪府＿車内クリーニング,int大阪_通常清掃,車 の 内装 クリーニング,Phrase,7,Average,Average,Above average,,Paused
大阪府＿車内クリーニング,int大阪_通常清掃,車内 クリーニング 専門 業者,Phrase,7,Average,Above average,Average,,Enabled
大阪府＿車内クリーニング,int大阪_通常清掃,車 の クリーニング,Phrase,7,Average,Average,Above average,,Paused
大阪府＿車内クリーニング,車 嘔吐 クリーニング,車 嘔吐 クリーニング 大阪,Phrase,7,Average,Above average,Average,https://carinteriorcleaning.jp/regions/osaka/kyuto-cleaning/,Enabled
大阪府＿車内クリーニング,車 嘔吐 クリーニング,車 クリーニング 大阪,Phrase,7,Average,Average,Above average,https://carinteriorcleaning.jp/regions/osaka/kyuto-cleaning/,Enabled
